
         1406614 function calls (1383283 primitive calls) in 3.797 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      109    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
       16    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
       16    0.000    0.000    0.000    0.000 :0(_abc_register)
 1805/282    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
 1805/282    0.000    0.000    0.000    0.000 :0(_abc_subclasscheck)
        1    0.000    0.000    0.000    0.000 numbers.py:147(Real)
        1    0.000    0.000    0.000    0.000 numbers.py:267(Rational)
        1    0.000    0.000    0.000    0.000 numbers.py:294(Integral)
        2    0.000    0.000    0.016    0.008 version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
        5    0.000    0.000    0.000    0.000 _version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 scanner.py:1(<module>)
        6    0.000    0.000    0.000    0.000 enum.py:1491(__or__)
     7760    0.000    0.000    0.000    0.000 enum.py:1093(__new__)
        3    0.000    0.000    0.000    0.000 enum.py:1376(_missing_)
        3    0.000    0.000    0.000    0.000 enum.py:1438(<listcomp>)
       10    0.000    0.000    0.000    0.000 enum.py:1366(_iter_member_by_def_)
       10    0.000    0.000    0.000    0.000 enum.py:1356(_iter_member_by_value_)
       10    0.000    0.000    0.000    0.000 enum.py:116(_iter_bits_lsb)
        7    0.000    0.000    0.000    0.000 enum.py:1373(<lambda>)
       62    0.000    0.000    0.016    0.000 __init__.py:225(compile)
      349    0.000    0.000    0.000    0.000 enum.py:1245(value)
      418    0.000    0.000    0.000    0.000 _compiler.py:568(isstring)
      418    0.000    0.000    0.000    0.000 enum.py:1501(__and__)
      209    0.000    0.000    0.125    0.001 _compiler.py:738(compile)
      209    0.000    0.000    0.078    0.000 _parser.py:970(parse)
      209    0.000    0.000    0.000    0.000 _parser.py:222(__init__)
     6214    0.000    0.000    0.000    0.000 _parser.py:231(__next)
      209    0.000    0.000    0.000    0.000 _parser.py:73(__init__)
  460/209    0.000    0.000    0.078    0.000 _parser.py:447(_parse_sub)
     1131    0.000    0.000    0.000    0.000 _parser.py:109(__init__)
     2930    0.000    0.000    0.000    0.000 _parser.py:247(match)
      220    0.000    0.000    0.000    0.000 _parser.py:82(opengroup)
      859    0.000    0.000    0.000    0.000 _parser.py:79(groups)
     2587    0.000    0.000    0.000    0.000 _parser.py:170(append)
     2555    0.000    0.000    0.000    0.000 _parser.py:158(__len__)
