The input is n = 1000
Your square root of 1000 is 31.622776601685473
The numpy square root of 1000 is 31.622776601683793
The error precision is  1.680433570072637e-12
All tests past.
Congratulation on achieving your first assignment.
         108332 function calls (106025 primitive calls) in 0.094 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       38    0.000    0.000    0.000    0.000 :0(sizeof)
       18    0.000    0.000    0.000    0.000 :0(calcsize)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:196(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:200(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:210(c_longlong)
        1    0.000    0.000    0.000    0.000 __init__.py:214(c_ulonglong)
        1    0.000    0.000    0.000    0.000 __init__.py:221(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:228(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:244(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:249(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:254(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:259(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:397(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:406(WinDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:415(HRESULT)
        1    0.000    0.000    0.000    0.000 __init__.py:428(OleDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:437(LibraryLoader)
        4    0.000    0.000    0.000    0.000 __init__.py:438(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:340(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:368(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:441(__getattr__)
        2    0.000    0.000    0.000    0.000 :0(LoadLibrary)
        1    0.000    0.000    0.000    0.000 __init__.py:384(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:391(__getitem__)
        2    0.000    0.000    0.000    0.000 __init__.py:76(CFUNCTYPE)
        2    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        3    0.000    0.000    0.000    0.000 __init__.py:501(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:502(CFunctionType)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:46(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        3    0.000    0.000    0.000    0.000 :0(clear)
        2    0.000    0.000    0.000    0.000 :0(POINTER)
        2    0.000    0.000    0.000    0.000 ntpath.py:537(abspath)
        3    0.000    0.000    0.000    0.000 :0(_getfullpathname)
        2    0.000    0.000    0.000    0.000 ntpath.py:463(normpath)
      890    0.000    0.000    0.000    0.000 :0(lstrip)
       69    0.000    0.000    0.000    0.000 :0(split)
        1    0.000    0.000    0.000    0.000 glob.py:13(glob)
        1    0.000    0.000    0.000    0.000 glob.py:26(iglob)
        3    0.000    0.000    0.000    0.000 :0(audit)
        2    0.000    0.000    0.000    0.000 glob.py:53(_iglob)
        3    0.000    0.000    0.000    0.000 glob.py:208(has_magic)
        3    0.000    0.000    0.000    0.000 :0(search)
        1    0.000    0.000    0.000    0.000 glob.py:199(_join)
        1    0.000    0.000    0.000    0.000 glob.py:93(_glob1)
        1    0.000    0.000    0.000    0.000 glob.py:162(_listdir)
        1    0.000    0.000    0.000    0.000 contextlib.py:335(__init__)
        1    0.000    0.000    0.000    0.000 contextlib.py:337(__enter__)
        2    0.000    0.000    0.000    0.000 glob.py:128(_iterdir)
        1    0.000    0.000    0.000    0.000 :0(scandir)
        1    0.000    0.000    0.000    0.000 contextlib.py:339(__exit__)
        4    0.000    0.000    0.000    0.000 :0(close)
        2    0.000    0.000    0.000    0.000 glob.py:215(_ishidden)
        1    0.000    0.000    0.000    0.000 fnmatch.py:54(filter)
        2    0.000    0.000    0.000    0.000 ntpath.py:44(normcase)
        1    0.000    0.000    0.000    0.000 fnmatch.py:44(_compile_pattern)
        1    0.000    0.000    0.000    0.000 fnmatch.py:80(translate)
       58    0.000    0.000    0.000    0.000 re.py:269(escape)
        2    0.000    0.000    0.000    0.000 sre_parse.py:861(_parse_flags)
       10    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      113    0.000    0.000    0.000    0.000 :0(isidentifier)
       99    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
        2    0.000    0.000    0.000    0.000 sre_parse.py:98(checkgroup)
        2    0.000    0.000    0.000    0.000 sre_parse.py:101(checklookbehindgroup)
       62    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
       96    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
        2    0.000    0.000    0.000    0.000 glob.py:96(<genexpr>)
      116    0.000    0.000    0.000    0.000 :0(match)
        1    0.000    0.000    0.000    0.000 version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
        2    0.000    0.000    0.000    0.000 _version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 scanner.py:1(<module>)
        4    0.000    0.000    0.000    0.000 enum.py:980(__or__)
        2    0.000    0.000    0.000    0.000 enum.py:937(_missing_)
        2    0.000    0.000    0.000    0.000 enum.py:947(_create_pseudo_member_)
        2    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
        2    0.000    0.000    0.000    0.000 enum.py:442(__iter__)
       20    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
       34    0.000    0.000    0.000    0.000 types.py:176(__get__)
       34    0.000    0.000    0.000    0.000 enum.py:801(value)
        8    0.000    0.000    0.000    0.000 :0(sort)
        5    0.000    0.000    0.000    0.000 enum.py:1049(<lambda>)
        1    0.000    0.000    0.000    0.000 decoder.py:20(JSONDecodeError)
       50    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        4    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
        1    0.000    0.000    0.000    0.000 decoder.py:254(JSONDecoder)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        5    0.000    0.000    0.000    0.000 :0(insert)
      288    0.000    0.000    0.000    0.000 :0(chr)
        1    0.000    0.000    0.000    0.000 encoder.py:73(JSONEncoder)
        1    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
        1    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
        1    0.000    0.000    0.000    0.000 _version.py:20(get_versions)
        1    0.000    0.000    0.000    0.000 __init__.py:299(loads)
        1    0.000    0.000    0.000    0.000 decoder.py:332(decode)
        2    0.000    0.000    0.000    0.000 :0(end)
        1    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:820(__contains__)
       23    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
       27    0.000    0.000    0.000    0.000 os.py:746(encodekey)
       29    0.000    0.000    0.000    0.000 os.py:740(check_str)
       63    0.000    0.000    0.000    0.000 :0(upper)
        2    0.000    0.000    0.000    0.000 os.py:682(__setitem__)
        2    0.000    0.000    0.000    0.000 :0(putenv)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
        3    0.000    0.000    0.000    0.000 datetime.py:46(_days_before_year)
        1    0.000    0.000    0.000    0.000 datetime.py:442(timedelta)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
      760    0.000    0.000    0.000    0.000 :0(abs)
       60    0.000    0.000    0.000    0.000 :0(divmod)
       54    0.000    0.000    0.000    0.000 :0(round)
        1    0.000    0.000    0.000    0.000 datetime.py:762(date)
        2    0.000    0.000    0.000    0.000 datetime.py:792(__new__)
        5    0.000    0.000    0.000    0.000 datetime.py:384(_check_date_fields)
       38    0.000    0.000    0.000    0.000 :0(index)
        5    0.000    0.000    0.000    0.000 datetime.py:51(_days_in_month)
        1    0.000    0.000    0.000    0.000 datetime.py:1114(tzinfo)
        1    0.000    0.000    0.000    0.000 datetime.py:1183(IsoCalendarDate)
        1    0.000    0.000    0.000    0.000 datetime.py:1214(time)
        2    0.000    0.000    0.000    0.000 datetime.py:1239(__new__)
        5    0.000    0.000    0.000    0.000 datetime.py:397(_check_time_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:414(_check_tzinfo_arg)
        1    0.000    0.000    0.000    0.000 datetime.py:1563(datetime)
        3    0.000    0.000    0.000    0.000 datetime.py:1571(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:2185(timezone)
        2    0.000    0.000    0.000    0.000 datetime.py:634(__neg__)
        3    0.000    0.000    0.000    0.000 datetime.py:2205(_create)
        1    0.000    0.000    0.000    0.000 _inspect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 py3k.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 parse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 parse.py:131(_ResultMixinStr)
        1    0.000    0.000    0.000    0.000 parse.py:139(_ResultMixinBytes)
