Fri May  5 16:38:17 2023    oldoutput.dat

         88164445 function calls (88156347 primitive calls) in 51.921 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      963    0.001    0.000    0.005    0.000 <__array_function__ internals>:177(dot)
      105    0.001    0.000    0.016    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\patches.py:48(__init__)
      477    0.001    0.000    0.005    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
     1008    0.001    0.000    0.004    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\units.py:56(_is_natively_supported)
  319/212    0.001    0.000    0.054    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\_api\deprecation.py:443(wrapper)
      594    0.001    0.000    0.003    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\path.py:353(iter_segments)
     3301    0.001    0.000    0.002    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:209(<lambda>)
      847    0.001    0.000    0.003    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\re\__init__.py:163(match)
       99    0.001    0.000    0.089    0.001 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\axes\_base.py:2371(add_patch)
      495    0.001    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\bezier.py:195(<listcomp>)
  688/673    0.001    0.000    0.004    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\contextlib.py:141(__exit__)
     2488    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     1045    0.001    0.000    0.008    0.000 <__array_function__ internals>:177(all)
        1    0.001    0.001    0.001    0.001 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\backends\backend_agg.py:78(__init__)
      396    0.001    0.000    0.010    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:809(from_extents)
     1428    0.001    0.000    0.006    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\artist.py:417(pchanged)
      347    0.001    0.000    0.003    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:2581(__init__)
     1304    0.001    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\numpy\core\fromnumeric.py:70(<dictcomp>)
